player_id,league_id,league_name,season,title,value
1077894,87,LaLiga,2024/2025,Goals,7.0
1077894,87,LaLiga,2024/2025,Assists,6.0
1077894,87,LaLiga,2024/2025,Started,22.0
1077894,87,LaLiga,2024/2025,Matches,22.0
1077894,87,LaLiga,2024/2025,Minutes played,1810.0
1077894,87,LaLiga,2024/2025,Rating,7.65
1077894,87,LaLiga,2024/2025,Yellow cards,3.0
1077894,87,LaLiga,2024/2025,Red cards,1.0
312765,47,Premier League,2024/2025,Goals,0.0
312765,47,Premier League,2024/2025,Assists,1.0
312765,47,Premier League,2024/2025,Started,6.0
312765,47,Premier League,2024/2025,Matches,16.0
312765,47,Premier League,2024/2025,Minutes played,605.0
312765,47,Premier League,2024/2025,Rating,6.82
312765,47,Premier League,2024/2025,Yellow cards,3.0
312765,47,Premier League,2024/2025,Red cards,0.0
212867,47,Premier League,2024/2025,Goals,7.0
212867,47,Premier League,2024/2025,Assists,9.0
212867,47,Premier League,2024/2025,Started,21.0
212867,47,Premier League,2024/2025,Matches,26.0
212867,47,Premier League,2024/2025,Minutes played,1863.0
212867,47,Premier League,2024/2025,Rating,7.41
212867,47,Premier League,2024/2025,Yellow cards,1.0
212867,47,Premier League,2024/2025,Red cards,0.0
